Drug,Primary Indication,Virus,Virus Group,Cell lines,Primary cells/organoids,Animal model,Phase I,Phase II,Phase III,Approved,Phase IV,Potential target,Mode_of_action,Reference,Virus Family,Virus Name,Viral Strain/Type,Viral disease,VirusImage,Drug_Bank_ID,PubChem_CID,InChI_Key,Approval Status,Negative Result?
4?Fluorouridine,N/A,SARS-CoV-2,(+)ssRNA,,,*,,,,,,Viral RNA pol,Ribonucleoside analog,PMID: 34031658,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,N/A,54260440,RDCYLPRXPILMRP-JVZYCSMKSA-N,Experimental,
4?Fluorouridine,N/A,RSV,(-)ssRNA,,,*,,,,,,Viral RNA pol,Ribonucleoside analog,PMID: 34031658,Pneumoviridae,Human orthopneumovirus,,Lower respiratory tract infections,24,N/A,54260440,RDCYLPRXPILMRP-JVZYCSMKSA-N,Experimental,
ABMA,N/A,EBOV,(-)ssRNA,*,,,,,,,,Human GTPase,Prevents endosomal fusion/maturation,PMID: 29138439,Filoviridae,Zaire ebolavirus,Ebola virus,Ebola hemorrhagic fever,3,N/A,2853512,UCAHJECAHMOSHI-UHFFFAOYSA-N,Experimental,
ABMA,N/A,DENV,(+)ssRNA,*,,,,,,,,Human GTPase,Prevents endosomal fusion/maturation,PMID: 29138439,Flaviviridae,Dengue virus,,Dengue fever,2,N/A,2853512,UCAHJECAHMOSHI-UHFFFAOYSA-N,Experimental,
ABMA,N/A,RABV,(-)ssRNA,*,,,,,,,,Human GTPase,Prevents endosomal fusion/maturation,PMID: 29138439,Rhabdoviridae,Rabies lyssavirus,,Rabies ,11,N/A,2853512,UCAHJECAHMOSHI-UHFFFAOYSA-N,Experimental,
ABT-737,Anticancer,LCMV,(-)ssRNA,,,*,,,,,,Human Bcl-2,Induces cell cycle arrest,PMID: 34586865,Arenaviridae,Lymphocytic choriomeningitis mammarenavirus,,Lymphocytic choriomeningitis,0,N/A,11228183,HPLNQCPCUACXLM-PGUFJCEWSA-N,Experimental ,
ABT-737,Anticancer,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Human Bcl-2,Induces cell cycle arrest,PMID: 34586865,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,N/A,11228183,HPLNQCPCUACXLM-PGUFJCEWSA-N,Experimental ,
Acetylsalicylic acid,Anti-inflammatory,SARS-CoV-2,(+)ssRNA,,,,,,*,,,Human COX,Cyclooxygenase inhibitor,NCT04808895,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00945,2244,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,Approved,
Acetylsalicylic acid,Anti-inflammatory,HSV-1,dsDNA,*,,*,*,,,,,Human COX,Cyclooxygenase inhibitor,PMID:24768597; NCT00587496,Herpesviridae,Human alphaherpesvirus 1,,Cold sores,12,DB00945,2244,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,Approved,
Acetylsalicylic acid,Anti-inflammatory,FLUAV,(-)ssRNA,*,,,,,,,,Human COX,Cyclooxygenase inhibitor,PMID:17324159,Orthomyxoviridae,Influenza A virus,,Influenza,34,DB00945,2244,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,Approved,
